Date,Icon,Conditions,Max Temp (°F),Min Temp (°F),Precip (%),Humidity (%)
2025-11-29,☁️,Cloudy & cool,43.9,30.2,0,68
2025-11-30,☁️,Cold & cloudy,36.6,27.1,14,65
2025-12-01,☁️,Cold & cloudy,35.4,25.4,2,72
2025-12-02,☁️,Cloudy & cool,44.0,28.9,0,67
2025-12-03,🌧,Chilly with showers,44.0,36.5,25,64
2025-12-04,☁️,Cold & cloudy,33.8,35.1,9,71
2025-12-05,☁️,Cold & cloudy,38.1,31.4,9,71
2025-12-06,🌦,Chance of showers,46.2,30.2,48,69
2025-12-07,🌦,Showers likely,36.1,27.3,58,66
2025-12-08,❄️,Very cold,28.9,25.8,9,59
2025-12-09,☁️,Cold & cloudy,35.2,27.5,4,59
2025-12-10,☁️,Cold & cloudy,39.7,27.0,0,74
2025-12-11,☁️,Cold & cloudy,34.2,24.1,17,73
2025-12-12,☁️,Cold & cloudy,36.1,27.4,3,65
2025-12-13,☁️,Cold & cloudy,39.7,28.6,6,58
2025-12-14,☁️,Cold & cloudy,36.7,27.7,17,51
2025-12-15,🌦,Chance of showers,38.8,29.3,39,48
2025-12-16,🌧,Chilly with showers,44.0,29.1,23,64
2025-12-17,☁️,Cold & cloudy,38.1,30.1,27,58
2025-12-18,☁️,Cold & cloudy,32.6,29.0,3,68
2025-12-19,☁️,Cold & cloudy,36.2,25.8,0,78
2025-12-20,☁️,Cloudy & cool,44.6,23.1,10,69
2025-12-21,🌧,Chilly with showers,42.5,24.3,23,69
2025-12-22,🌧,Chilly with showers,42.4,25.6,20,62
2025-12-23,☁️,Cloudy & cool,44.1,25.2,16,58
2025-12-24,☁️,Cold & cloudy,39.6,29.4,0,79
2025-12-25,☁️,Cold & cloudy,36.4,25.9,20,70
2025-12-26,☁️,Cold & cloudy,35.9,17.3,0,72
2025-12-27,☁️,Cold & cloudy,36.9,16.9,17,59
2025-12-28,🌦,Chance of showers,35.1,19.2,34,68
2025-12-29,❄️,Very cold,31.7,21.5,8,79
2025-12-30,☁️,Cold & cloudy,34.8,22.1,7,63
2025-12-31,☁️,Cloudy & cool,44.5,20.1,0,72
2026-01-01,☁️,Cloudy & cool,48.0,20.9,12,68
2026-01-02,☁️,Cloudy & cool,46.1,22.3,13,71
2026-01-03,🌦,Chance of showers,44.0,21.2,36,66
2026-01-04,☁️,Cloudy & cool,49.0,20.3,7,62
2026-01-05,☁️,Cloudy & cool,45.3,18.9,2,67
2026-01-06,❄️,Very cold,30.6,14.6,10,73
2026-01-07,❄️,Very cold,20.6,9.3,16,67
2026-01-08,❄️,Very cold,24.8,6.0,7,77
2026-01-09,🌦,Chance of showers,28.6,7.0,31,60
2026-01-10,❄️,Very cold,27.7,11.2,1,59
2026-01-11,❄️,Very cold,23.1,12.6,11,57
2026-01-12,🌦,Chance of showers,26.1,15.3,31,65
2026-01-13,❄️,Very cold,24.8,18.9,18,73
2026-01-14,❄️,Very cold,30.2,20.0,0,78
2026-01-15,☁️,Cold & cloudy,37.9,20.8,1,75
2026-01-16,☁️,Cold & cloudy,35.7,17.7,17,70
2026-01-17,❄️,Very cold,31.8,12.9,0,60
2026-01-18,☁️,Cold & cloudy,35.3,14.1,5,63
2026-01-19,❄️,Very cold,30.0,15.1,11,66
2026-01-20,❄️,Very cold,25.2,13.3,13,67
2026-01-21,❄️,Very cold,26.2,10.8,13,68
2026-01-22,❄️,Very cold,24.2,14.7,0,62
2026-01-23,❄️,Very cold,24.8,18.0,26,64
2026-01-24,❄️,Very cold,26.0,21.4,17,69
2026-01-25,☁️,Cold & cloudy,33.4,24.3,17,67
2026-01-26,❄️,Very cold,30.3,24.4,24,69
2026-01-27,❄️,Very cold,28.7,19.6,11,68
2026-01-28,☁️,Cold & cloudy,33.2,18.9,7,71
2026-01-29,❄️,Very cold,31.5,19.8,10,60
2026-01-30,❄️,Very cold,27.3,19.8,29,66
2026-01-31,☁️,Cold & cloudy,39.9,22.2,12,57
2026-02-01,☁️,Cloudy & cool,46.2,23.2,16,69
2026-02-02,☁️,Cold & cloudy,39.9,18.9,3,69
2026-02-03,❄️,Very cold,28.0,12.6,12,76
2026-02-04,❄️,Very cold,25.8,13.1,0,79
2026-02-05,❄️,Very cold,29.3,16.8,6,82
2026-02-06,☁️,Cold & cloudy,37.5,17.1,8,66
2026-02-07,☁️,Cold & cloudy,38.5,16.2,9,75
2026-02-08,☁️,Cloudy & cool,47.2,16.1,6,76
2026-02-09,🌦,Chance of showers,47.7,17.6,31,83
2026-02-10,☁️,Cloudy & cool,41.6,16.9,3,85
2026-02-11,☁️,Cold & cloudy,38.3,16.7,9,62
2026-02-12,☁️,Cloudy & cool,40.1,17.6,17,62
2026-02-13,🌦,Chance of showers,39.8,20.8,45,76
2026-02-14,☁️,Cloudy & cool,44.4,23.8,10,78
2026-02-15,⛅,Cool with clouds,55.7,20.7,5,77
2026-02-16,🌧,Chilly with showers,49.3,17.8,20,71
2026-02-17,❄️,Very cold,28.7,21.1,0,79
2026-02-18,❄️,Very cold,27.7,20.7,12,63
2026-02-19,☁️,Cold & cloudy,34.8,18.6,0,61
2026-02-20,☁️,Cold & cloudy,37.9,20.8,0,76
2026-02-21,☁️,Cold & cloudy,37.1,22.0,17,74
2026-02-22,🌦,Chance of showers,43.4,22.8,43,72
2026-02-23,☁️,Cloudy & cool,41.2,29.8,10,63
2026-02-24,☁️,Cloudy & cool,40.6,32.2,0,66
2026-02-25,☁️,Cloudy & cool,46.0,32.2,0,72
2026-02-26,⛅,Cool with clouds,57.6,34.0,23,79
