Date,Icon,Conditions,Max Temp (°F),Min Temp (°F),Precip (%),Humidity (%)
2025-11-29,🌧,Chilly with showers,40.0,25.8,20,68
2025-11-30,☁️,Cold & cloudy,37.5,21.1,0,62
2025-12-01,☁️,Cold & cloudy,39.5,17.8,12,75
2025-12-02,☁️,Cloudy & cool,45.7,20.7,0,78
2025-12-03,☁️,Cold & cloudy,37.7,25.1,12,80
2025-12-04,❄️,Very cold,22.6,22.2,22,85
2025-12-05,🌦,Showers likely,27.2,20.3,52,71
2025-12-06,🌦,Showers likely,37.9,22.6,57,64
2025-12-07,❄️,Very cold,31.7,22.4,13,78
2025-12-08,❄️,Very cold,22.1,22.1,0,77
2025-12-09,❄️,Very cold,25.5,24.5,0,73
2025-12-10,❄️,Very cold,31.7,23.7,0,87
2025-12-11,❄️,Very cold,25.0,21.5,0,83
2025-12-12,❄️,Very cold,27.5,25.0,1,73
2025-12-13,☁️,Cold & cloudy,35.8,24.8,21,75
2025-12-14,☁️,Cold & cloudy,35.2,24.9,11,70
2025-12-15,☁️,Cold & cloudy,32.5,26.8,8,59
2025-12-16,☁️,Cloudy & cool,45.2,27.1,12,65
2025-12-17,☁️,Cloudy & cool,42.2,26.5,18,67
2025-12-18,❄️,Very cold,27.7,24.3,10,77
2025-12-19,❄️,Very cold,30.1,20.5,0,85
2025-12-20,☁️,Cloudy & cool,41.8,14.3,6,75
2025-12-21,☁️,Cold & cloudy,37.6,13.8,11,85
2025-12-22,☁️,Cold & cloudy,34.8,20.0,30,75
2025-12-23,☁️,Cold & cloudy,37.4,23.0,12,68
2025-12-24,❄️,Very cold,31.1,24.5,14,73
2025-12-25,❄️,Very cold,27.7,19.6,3,68
2025-12-26,☁️,Cold & cloudy,32.4,14.1,0,69
2025-12-27,☁️,Cold & cloudy,38.9,14.6,10,68
2025-12-28,🌦,Chance of showers,40.1,16.6,35,66
2025-12-29,❄️,Very cold,30.8,18.0,3,84
2025-12-30,☁️,Cold & cloudy,32.0,18.9,1,68
2025-12-31,☁️,Cloudy & cool,43.6,17.2,0,67
2026-01-01,☁️,Cloudy & cool,50.2,19.9,9,70
2026-01-02,🌧,Chilly with showers,46.9,23.0,22,63
2026-01-03,🌧,Chilly with showers,41.0,18.8,27,63
2026-01-04,☁️,Cloudy & cool,47.0,14.1,0,64
2026-01-05,☁️,Cloudy & cool,46.3,12.9,0,71
2026-01-06,❄️,Very cold,30.0,8.1,5,70
2026-01-07,❄️,Very cold,16.6,-1.9,12,72
2026-01-08,❄️,Very cold,20.3,-3.6,21,77
2026-01-09,❄️,Very cold,23.8,2.9,22,78
2026-01-10,❄️,Very cold,21.4,10.1,4,75
2026-01-11,❄️,Very cold,13.7,9.7,0,72
2026-01-12,❄️,Very cold,15.3,8.6,14,76
2026-01-13,❄️,Very cold,23.2,11.6,0,68
2026-01-14,☁️,Cold & cloudy,32.3,12.5,0,77
2026-01-15,☁️,Cold & cloudy,32.3,11.2,14,81
2026-01-16,☁️,Cold & cloudy,32.6,12.0,13,82
2026-01-17,☁️,Cold & cloudy,39.7,12.5,0,75
2026-01-18,☁️,Cold & cloudy,38.7,15.1,15,75
2026-01-19,❄️,Very cold,27.8,15.5,0,73
2026-01-20,❄️,Very cold,27.6,10.4,21,72
2026-01-21,❄️,Very cold,28.6,4.3,0,76
2026-01-22,❄️,Very cold,24.2,11.6,8,75
2026-01-23,🌦,Chance of showers,27.9,22.1,32,62
2026-01-24,❄️,Very cold,26.2,26.8,3,71
2026-01-25,❄️,Very cold,25.5,22.0,6,74
2026-01-26,❄️,Very cold,18.7,20.0,11,81
2026-01-27,❄️,Very cold,18.8,20.7,19,75
2026-01-28,❄️,Very cold,25.3,16.3,24,64
2026-01-29,❄️,Very cold,27.3,8.9,28,65
2026-01-30,🌦,Chance of showers,27.1,10.0,37,66
2026-01-31,🌦,Chance of showers,40.5,21.3,43,73
2026-02-01,☁️,Cloudy & cool,41.6,24.3,17,77
2026-02-02,☁️,Cold & cloudy,34.0,16.6,30,81
2026-02-03,❄️,Very cold,26.0,10.0,15,80
2026-02-04,❄️,Very cold,19.4,6.9,10,80
2026-02-05,❄️,Very cold,21.6,3.7,19,77
2026-02-06,☁️,Cold & cloudy,38.3,3.7,13,80
2026-02-07,🌧,Chilly with showers,44.7,11.7,20,74
2026-02-08,🌦,Chance of showers,49.0,17.9,34,76
2026-02-09,🌧,Chilly with showers,43.7,13.7,27,80
2026-02-10,🌦,Chance of showers,34.2,5.4,34,77
2026-02-11,☁️,Cold & cloudy,39.2,7.6,5,69
2026-02-12,☁️,Cloudy & cool,47.3,14.7,16,73
2026-02-13,🌧,Chilly with showers,42.1,20.4,26,77
2026-02-14,☁️,Cloudy & cool,41.6,21.3,15,88
2026-02-15,☁️,Cloudy & cool,54.9,16.5,0,70
2026-02-16,🌦,Chance of showers,46.8,15.2,36,64
2026-02-17,❄️,Very cold,24.1,17.1,18,70
2026-02-18,❄️,Very cold,25.1,18.2,3,69
2026-02-19,❄️,Very cold,31.0,13.8,0,71
2026-02-20,☁️,Cold & cloudy,34.8,15.3,0,79
2026-02-21,☁️,Cold & cloudy,34.1,22.5,0,70
2026-02-22,🌦,Chance of showers,41.3,26.1,32,73
2026-02-23,☁️,Cloudy & cool,44.2,28.8,14,69
2026-02-24,☁️,Cloudy & cool,46.5,30.9,0,82
2026-02-25,☁️,Cloudy & cool,46.2,34.2,0,76
2026-02-26,🌧,Chilly with showers,52.3,36.4,28,81
