Date,Icon,Conditions,Max Temp (°F),Min Temp (°F),Precip (%),Humidity (%)
2025-11-29,☁️,Cloudy & cool,43.8,30.3,0,68
2025-11-30,☁️,Cold & cloudy,36.0,28.0,27,70
2025-12-01,☁️,Cold & cloudy,35.3,26.8,1,76
2025-12-02,☁️,Cloudy & cool,44.2,29.6,0,69
2025-12-03,🌧,Chilly with showers,44.1,36.5,20,62
2025-12-04,☁️,Cold & cloudy,34.5,35.4,8,67
2025-12-05,☁️,Cold & cloudy,39.2,31.3,6,69
2025-12-06,🌦,Chance of showers,46.6,30.2,41,69
2025-12-07,🌦,Chance of showers,35.9,27.4,40,66
2025-12-08,❄️,Very cold,28.3,26.0,11,63
2025-12-09,☁️,Cold & cloudy,34.4,27.8,0,60
2025-12-10,☁️,Cold & cloudy,39.7,28.0,0,74
2025-12-11,☁️,Cold & cloudy,34.6,24.7,10,72
2025-12-12,☁️,Cold & cloudy,35.6,27.5,7,66
2025-12-13,☁️,Cold & cloudy,38.5,28.8,10,58
2025-12-14,☁️,Cold & cloudy,36.0,27.8,15,53
2025-12-15,☁️,Cold & cloudy,38.7,28.4,28,47
2025-12-16,☁️,Cloudy & cool,44.1,27.5,17,61
2025-12-17,🌦,Chance of showers,38.2,28.6,38,58
2025-12-18,☁️,Cold & cloudy,33.4,28.4,14,68
2025-12-19,☁️,Cold & cloudy,37.5,25.9,3,81
2025-12-20,☁️,Cloudy & cool,45.1,23.4,20,70
2025-12-21,🌧,Chilly with showers,42.3,24.1,29,72
2025-12-22,☁️,Cloudy & cool,42.5,25.5,17,65
2025-12-23,☁️,Cloudy & cool,44.9,25.7,12,62
2025-12-24,☁️,Cold & cloudy,39.7,30.0,0,80
2025-12-25,☁️,Cold & cloudy,35.8,26.9,19,73
2025-12-26,☁️,Cold & cloudy,35.8,18.5,4,74
2025-12-27,☁️,Cold & cloudy,37.3,18.0,21,62
2025-12-28,🌦,Chance of showers,35.3,19.6,36,70
2025-12-29,❄️,Very cold,31.1,21.7,7,80
2025-12-30,☁️,Cold & cloudy,34.0,23.0,13,61
2025-12-31,☁️,Cloudy & cool,44.1,21.0,0,72
2026-01-01,☁️,Cloudy & cool,47.6,21.0,9,70
2026-01-02,☁️,Cloudy & cool,45.0,22.2,19,73
2026-01-03,🌦,Chance of showers,43.4,21.6,34,67
2026-01-04,☁️,Cloudy & cool,48.9,20.8,0,63
2026-01-05,☁️,Cloudy & cool,45.5,19.2,4,69
2026-01-06,❄️,Very cold,31.1,14.6,7,74
2026-01-07,❄️,Very cold,21.9,10.0,22,64
2026-01-08,❄️,Very cold,26.8,7.5,21,76
2026-01-09,❄️,Very cold,28.9,8.6,22,60
2026-01-10,❄️,Very cold,26.7,11.7,0,58
2026-01-11,❄️,Very cold,23.4,12.1,11,58
2026-01-12,❄️,Very cold,27.3,14.9,28,67
2026-01-13,❄️,Very cold,25.6,19.3,9,72
2026-01-14,❄️,Very cold,29.8,20.6,3,80
2026-01-15,☁️,Cold & cloudy,37.1,20.7,12,76
2026-01-16,☁️,Cold & cloudy,35.5,16.9,17,68
2026-01-17,❄️,Very cold,30.8,12.1,0,60
2026-01-18,☁️,Cold & cloudy,34.2,13.4,12,61
2026-01-19,❄️,Very cold,29.8,14.1,17,67
2026-01-20,❄️,Very cold,25.2,12.9,11,67
2026-01-21,❄️,Very cold,25.2,10.8,13,69
2026-01-22,❄️,Very cold,23.9,14.1,0,61
2026-01-23,🌦,Chance of showers,25.3,16.2,32,61
2026-01-24,❄️,Very cold,26.2,19.6,19,65
2026-01-25,☁️,Cold & cloudy,33.1,23.3,18,63
2026-01-26,❄️,Very cold,30.0,23.8,23,69
2026-01-27,❄️,Very cold,28.3,19.3,11,67
2026-01-28,☁️,Cold & cloudy,33.8,18.8,11,70
2026-01-29,☁️,Cold & cloudy,32.3,20.2,11,60
2026-01-30,❄️,Very cold,26.5,21.1,22,71
2026-01-31,☁️,Cold & cloudy,38.4,22.7,20,62
2026-02-01,☁️,Cloudy & cool,45.5,22.4,18,71
2026-02-02,☁️,Cloudy & cool,40.4,17.9,0,70
2026-02-03,❄️,Very cold,29.0,12.0,11,77
2026-02-04,❄️,Very cold,26.4,13.0,0,79
2026-02-05,❄️,Very cold,28.9,17.4,8,79
2026-02-06,☁️,Cold & cloudy,37.0,17.8,7,63
2026-02-07,☁️,Cold & cloudy,37.9,16.1,9,75
2026-02-08,☁️,Cloudy & cool,46.4,16.0,10,78
2026-02-09,☁️,Cloudy & cool,46.9,17.9,18,83
2026-02-10,☁️,Cloudy & cool,40.9,16.4,10,83
2026-02-11,☁️,Cold & cloudy,37.6,15.3,15,61
2026-02-12,☁️,Cloudy & cool,40.2,16.9,19,63
2026-02-13,🌦,Chance of showers,40.4,20.3,34,75
2026-02-14,☁️,Cloudy & cool,44.3,23.7,3,75
2026-02-15,⛅,Cool with clouds,55.1,21.1,10,71
2026-02-16,🌧,Chilly with showers,47.9,17.9,29,68
2026-02-17,❄️,Very cold,28.3,20.6,0,77
2026-02-18,❄️,Very cold,28.2,20.7,8,64
2026-02-19,☁️,Cold & cloudy,34.6,18.9,0,61
2026-02-20,☁️,Cold & cloudy,37.7,20.3,2,74
2026-02-21,☁️,Cold & cloudy,37.4,21.0,26,72
2026-02-22,🌦,Chance of showers,43.6,22.4,41,71
2026-02-23,🌧,Chilly with showers,41.3,29.7,24,62
2026-02-24,☁️,Cold & cloudy,39.9,31.6,4,69
2026-02-25,☁️,Cloudy & cool,44.7,31.2,0,75
2026-02-26,⛅,Cool with clouds,56.7,33.1,30,79
