Date,Icon,Conditions,Max Temp (°F),Min Temp (°F),Precip (%),Humidity (%)
2025-11-29,☁️,Cloudy & cool,45.9,33.6,11,58
2025-11-30,🌦,Chance of showers,41.1,32.2,33,67
2025-12-01,☁️,Cold & cloudy,39.9,29.0,14,71
2025-12-02,☁️,Cloudy & cool,44.8,28.9,0,63
2025-12-03,☁️,Cloudy & cool,46.0,35.5,4,53
2025-12-04,☁️,Cloudy & cool,40.1,35.1,16,70
2025-12-05,☁️,Cloudy & cool,42.7,30.9,20,68
2025-12-06,🌧,Chilly with showers,47.8,30.8,23,58
2025-12-07,☁️,Cold & cloudy,37.2,29.6,29,67
2025-12-08,☁️,Cold & cloudy,32.2,29.1,14,57
2025-12-09,☁️,Cold & cloudy,37.9,29.3,0,63
2025-12-10,☁️,Cloudy & cool,42.3,28.0,1,75
2025-12-11,☁️,Cold & cloudy,38.3,26.6,6,70
2025-12-12,☁️,Cloudy & cool,41.0,30.3,4,59
2025-12-13,☁️,Cloudy & cool,42.4,30.5,6,54
2025-12-14,☁️,Cold & cloudy,39.3,30.2,21,54
2025-12-15,☁️,Cloudy & cool,41.0,30.5,13,53
2025-12-16,🌧,Chilly with showers,43.5,29.8,27,63
2025-12-17,🌦,Chance of showers,38.3,30.1,32,59
2025-12-18,☁️,Cold & cloudy,37.0,30.1,18,62
2025-12-19,🌧,Chilly with showers,41.9,28.4,29,73
2025-12-20,🌧,Chilly with showers,49.0,26.1,21,66
2025-12-21,🌧,Chilly with showers,47.3,26.6,25,70
2025-12-22,☁️,Cloudy & cool,47.6,29.6,12,59
2025-12-23,☁️,Cloudy & cool,49.2,29.5,9,50
2025-12-24,☁️,Cloudy & cool,44.8,31.2,0,72
2025-12-25,🌦,Chance of showers,42.4,25.6,30,70
2025-12-26,☁️,Cold & cloudy,39.8,18.0,2,65
2025-12-27,☁️,Cold & cloudy,36.3,18.5,7,50
2025-12-28,☁️,Cold & cloudy,34.1,20.3,19,61
2025-12-29,☁️,Cold & cloudy,35.7,22.6,9,79
2025-12-30,🌧,Chilly with showers,40.5,23.3,26,62
2025-12-31,☁️,Cloudy & cool,49.1,21.4,18,73
2026-01-01,☁️,Cloudy & cool,51.7,22.8,18,67
2026-01-02,☁️,Cloudy & cool,50.0,25.7,19,72
2026-01-03,🌦,Chance of showers,47.8,25.8,30,74
2026-01-04,☁️,Cloudy & cool,49.9,23.1,17,68
2026-01-05,☁️,Cloudy & cool,46.2,21.1,9,69
2026-01-06,☁️,Cold & cloudy,35.6,19.0,4,69
2026-01-07,❄️,Very cold,26.8,14.8,14,57
2026-01-08,❄️,Very cold,30.0,10.0,20,72
2026-01-09,☁️,Cold & cloudy,32.7,10.2,9,75
2026-01-10,❄️,Very cold,30.6,15.3,0,60
2026-01-11,❄️,Very cold,26.8,15.9,4,56
2026-01-12,🌦,Chance of showers,30.0,17.7,37,67
2026-01-13,❄️,Very cold,28.5,22.9,9,70
2026-01-14,❄️,Very cold,29.9,24.7,0,70
2026-01-15,☁️,Cold & cloudy,36.7,23.3,0,71
2026-01-16,🌦,Chance of showers,37.1,19.8,39,64
2026-01-17,☁️,Cold & cloudy,35.9,16.7,10,66
2026-01-18,☁️,Cold & cloudy,39.6,16.0,29,66
2026-01-19,☁️,Cold & cloudy,32.4,15.9,16,77
2026-01-20,❄️,Very cold,29.7,17.1,14,72
2026-01-21,☁️,Cold & cloudy,34.4,14.9,12,69
2026-01-22,☁️,Cold & cloudy,33.3,16.2,0,67
2026-01-23,🌦,Chance of showers,29.7,19.8,42,62
2026-01-24,🌦,Chance of showers,28.9,26.1,35,64
2026-01-25,🌦,Chance of showers,38.7,29.8,35,64
2026-01-26,☁️,Cold & cloudy,37.1,28.8,1,73
2026-01-27,☁️,Cold & cloudy,32.8,24.0,0,73
2026-01-28,☁️,Cold & cloudy,37.1,24.5,13,69
2026-01-29,☁️,Cold & cloudy,36.9,23.8,0,56
2026-01-30,☁️,Cold & cloudy,32.8,21.5,16,75
2026-01-31,☁️,Cloudy & cool,42.0,25.5,18,64
2026-02-01,🌧,Chilly with showers,47.5,27.3,27,67
2026-02-02,☁️,Cloudy & cool,44.3,21.9,0,66
2026-02-03,☁️,Cold & cloudy,32.1,14.0,0,77
