Date,Icon,Conditions,Max Temp (°F),Min Temp (°F),Precip (%),Humidity (%)
2025-11-29,☁️,Cold & cloudy,38.9,29.8,24,79
2025-11-30,☁️,Cold & cloudy,35.5,26.1,22,81
2025-12-01,☁️,Cold & cloudy,37.1,24.0,18,81
2025-12-02,☁️,Cold & cloudy,39.3,22.1,6,84
2025-12-03,☁️,Cold & cloudy,36.1,25.5,5,74
2025-12-04,❄️,Very cold,30.9,27.2,5,74
2025-12-05,☁️,Cold & cloudy,34.9,25.0,20,77
2025-12-06,🌦,Chance of showers,38.5,25.2,31,70
2025-12-07,❄️,Very cold,29.2,23.6,30,68
2025-12-08,❄️,Very cold,21.1,25.2,21,75
2025-12-09,❄️,Very cold,30.9,26.2,8,75
2025-12-10,☁️,Cold & cloudy,37.8,25.6,25,80
2025-12-11,❄️,Very cold,30.6,23.5,22,77
2025-12-12,❄️,Very cold,27.6,24.3,26,73
2025-12-13,❄️,Very cold,30.6,23.3,21,74
2025-12-14,🌦,Chance of showers,30.8,27.9,43,71
2025-12-15,🌦,Showers likely,28.0,29.1,62,78
2025-12-16,🌦,Chance of showers,41.7,23.5,37,70
2025-12-17,🌧,Chilly with showers,40.6,21.4,25,72
2025-12-18,❄️,Very cold,31.0,22.8,19,75
2025-12-19,🌦,Chance of showers,32.0,24.8,35,83
2025-12-20,☁️,Cold & cloudy,37.5,22.4,13,79
2025-12-21,☁️,Cold & cloudy,34.4,23.7,7,75
2025-12-22,☁️,Cold & cloudy,32.6,24.5,27,87
2025-12-23,☁️,Cold & cloudy,37.2,22.5,21,86
2025-12-24,☁️,Cold & cloudy,32.4,21.4,5,81
2025-12-25,❄️,Very cold,29.9,16.2,0,78
2025-12-26,🌦,Chance of showers,34.4,11.8,38,78
2025-12-27,🌦,Chance of showers,37.2,16.2,38,84
2025-12-28,☁️,Cold & cloudy,32.5,20.6,13,72
2025-12-29,❄️,Very cold,27.7,20.1,29,79
2025-12-30,❄️,Very cold,31.8,20.0,24,81
2025-12-31,🌧,Chilly with showers,41.1,21.1,22,73
2026-01-01,🌧,Chilly with showers,43.8,24.9,27,68
2026-01-02,☁️,Cold & cloudy,35.9,28.8,16,66
2026-01-03,🌦,Chance of showers,30.1,26.4,38,73
2026-01-04,🌦,Chance of showers,41.0,20.3,45,72
2026-01-05,🌦,Chance of showers,42.9,17.6,47,67
2026-01-06,❄️,Very cold,28.0,16.7,21,79
2026-01-07,❄️,Very cold,18.1,13.7,14,85
2026-01-08,❄️,Very cold,24.7,8.4,28,73
2026-01-09,❄️,Very cold,24.1,8.6,27,65
2026-01-10,❄️,Very cold,25.2,16.6,19,71
2026-01-11,❄️,Very cold,24.2,19.2,13,85
2026-01-12,❄️,Very cold,22.5,18.7,12,78
2026-01-13,❄️,Very cold,25.5,21.5,0,74
2026-01-14,❄️,Very cold,29.9,21.8,29,72
2026-01-15,🌦,Chance of showers,29.1,15.0,38,72
2026-01-16,☁️,Cold & cloudy,33.7,13.0,23,74
2026-01-17,☁️,Cold & cloudy,37.3,14.7,12,67
2026-01-18,🌦,Chance of showers,34.8,15.5,36,69
2026-01-19,☁️,Cold & cloudy,32.8,13.7,24,72
2026-01-20,☁️,Cold & cloudy,34.8,9.2,20,67
2026-01-21,🌦,Chance of showers,31.1,7.0,37,72
2026-01-22,❄️,Very cold,26.2,10.7,18,81
2026-01-23,❄️,Very cold,24.5,10.1,11,77
2026-01-24,❄️,Very cold,18.0,12.8,7,78
2026-01-25,❄️,Very cold,25.5,16.0,14,82
2026-01-26,❄️,Very cold,28.2,13.6,0,80
2026-01-27,❄️,Very cold,16.1,7.7,0,75
2026-01-28,❄️,Very cold,14.7,5.9,25,72
2026-01-29,❄️,Very cold,21.7,9.0,1,75
2026-01-30,❄️,Very cold,30.1,15.6,21,77
2026-01-31,☁️,Cloudy & cool,40.8,25.4,14,78
2026-02-01,☁️,Cold & cloudy,38.8,25.9,0,73
2026-02-02,☁️,Cold & cloudy,37.2,14.8,25,78
2026-02-03,❄️,Very cold,29.9,5.7,27,80
2026-02-04,❄️,Very cold,18.6,4.2,12,74
2026-02-05,❄️,Very cold,22.1,6.0,10,81
2026-02-06,☁️,Cold & cloudy,35.3,9.6,27,73
2026-02-07,☁️,Cold & cloudy,37.3,12.9,22,67
2026-02-08,🌧,Chilly with showers,42.4,14.4,21,72
2026-02-09,🌦,Chance of showers,38.5,15.9,35,80
2026-02-10,❄️,Very cold,27.8,14.7,23,74
2026-02-11,🌦,Chance of showers,29.8,13.1,39,70
2026-02-12,🌦,Chance of showers,37.8,13.1,35,77
2026-02-13,🌦,Chance of showers,35.9,16.8,30,77
2026-02-14,☁️,Cold & cloudy,36.3,18.9,16,78
2026-02-15,🌧,Chilly with showers,45.4,19.6,20,82
2026-02-16,☁️,Cold & cloudy,38.0,23.1,10,82
2026-02-17,🌦,Chance of showers,26.8,24.4,47,79
2026-02-18,❄️,Very cold,26.6,18.9,7,69
2026-02-19,❄️,Very cold,28.3,15.6,23,62
2026-02-20,🌦,Chance of showers,30.7,17.8,44,63
2026-02-21,❄️,Very cold,27.0,19.5,11,81
2026-02-22,🌦,Chance of showers,40.9,19.7,41,83
2026-02-23,☁️,Cloudy & cool,50.8,23.2,9,81
2026-02-24,☁️,Cloudy & cool,46.6,23.7,9,81
2026-02-25,☁️,Cold & cloudy,37.5,24.2,14,78
2026-02-26,🌧,Chilly with showers,45.2,28.8,25,83
