Date,Icon,Conditions,Max Temp (°F),Min Temp (°F),Precip (%),Humidity (%)
2025-11-29,☁️,Cloudy & cool,40.7,31.3,15,73
2025-11-30,☁️,Cold & cloudy,34.2,26.9,0,63
2025-12-01,☁️,Cold & cloudy,36.4,24.2,11,64
2025-12-02,☁️,Cloudy & cool,49.3,27.5,0,65
2025-12-03,☁️,Cloudy & cool,46.0,34.7,17,74
2025-12-04,❄️,Very cold,30.8,32.7,5,78
2025-12-05,☁️,Cold & cloudy,34.4,27.7,11,82
2025-12-06,🌧,Chilly with showers,45.8,28.7,20,67
2025-12-07,☁️,Cold & cloudy,36.6,28.8,10,72
2025-12-08,❄️,Very cold,26.6,28.5,0,69
2025-12-09,☁️,Cold & cloudy,34.0,29.7,0,67
2025-12-10,☁️,Cold & cloudy,39.9,28.0,0,82
2025-12-11,❄️,Very cold,31.5,24.5,12,80
2025-12-12,☁️,Cold & cloudy,33.2,28.1,6,65
2025-12-13,🌦,Chance of showers,38.3,30.2,31,66
2025-12-14,☁️,Cold & cloudy,36.0,30.4,11,60
2025-12-15,☁️,Cold & cloudy,35.5,31.3,0,57
2025-12-16,☁️,Cloudy & cool,42.0,31.9,17,64
2025-12-17,☁️,Cold & cloudy,39.6,32.4,30,67
2025-12-18,❄️,Very cold,29.1,29.4,24,67
2025-12-19,❄️,Very cold,28.5,25.8,13,82
2025-12-20,☁️,Cloudy & cool,40.7,22.7,17,79
2025-12-21,☁️,Cloudy & cool,40.5,23.9,10,78
2025-12-22,☁️,Cold & cloudy,40.0,27.3,8,67
2025-12-23,🌧,Chilly with showers,43.5,29.1,22,56
2025-12-24,☁️,Cold & cloudy,39.2,31.4,13,62
2025-12-25,☁️,Cold & cloudy,34.8,25.8,20,60
2025-12-26,☁️,Cold & cloudy,34.7,17.7,0,69
2025-12-27,☁️,Cold & cloudy,38.8,18.9,0,67
2025-12-28,☁️,Cloudy & cool,40.9,21.8,12,71
2025-12-29,☁️,Cold & cloudy,36.9,21.7,13,77
2025-12-30,☁️,Cold & cloudy,36.1,21.7,8,61
2025-12-31,☁️,Cloudy & cool,42.6,21.9,0,63
2026-01-01,☁️,Cloudy & cool,49.8,24.9,13,62
2026-01-02,☁️,Cloudy & cool,50.6,26.7,9,69
2026-01-03,🌦,Chance of showers,46.8,22.6,32,63
2026-01-04,☁️,Cloudy & cool,49.2,18.8,11,65
2026-01-05,☁️,Cloudy & cool,45.1,18.3,0,70
2026-01-06,❄️,Very cold,31.8,15.3,0,77
2026-01-07,❄️,Very cold,21.3,8.6,12,75
2026-01-08,❄️,Very cold,23.5,4.6,4,83
2026-01-09,❄️,Very cold,28.7,6.9,23,70
2026-01-10,❄️,Very cold,27.9,15.0,10,59
2026-01-11,❄️,Very cold,20.0,16.9,9,53
2026-01-12,❄️,Very cold,22.2,17.2,12,63
2026-01-13,❄️,Very cold,27.4,20.3,7,75
2026-01-14,☁️,Cold & cloudy,35.2,21.6,0,76
2026-01-15,☁️,Cold & cloudy,38.8,21.8,0,78
2026-01-16,☁️,Cold & cloudy,37.5,20.2,8,70
2026-01-17,☁️,Cold & cloudy,38.8,16.2,15,71
2026-01-18,☁️,Cold & cloudy,40.0,17.2,10,69
2026-01-19,❄️,Very cold,30.3,18.7,0,69
2026-01-20,❄️,Very cold,27.7,15.9,19,72
2026-01-21,❄️,Very cold,30.8,11.3,10,67
2026-01-22,❄️,Very cold,26.9,17.0,15,71
2026-01-23,❄️,Very cold,29.4,24.5,22,67
2026-01-24,☁️,Cold & cloudy,33.3,28.9,13,74
2026-01-25,☁️,Cold & cloudy,37.0,28.5,19,68
2026-01-26,❄️,Very cold,30.4,26.9,28,68
2026-01-27,❄️,Very cold,30.9,22.8,27,78
2026-01-28,☁️,Cold & cloudy,35.2,20.6,9,62
2026-01-29,☁️,Cold & cloudy,32.1,18.5,22,58
2026-01-30,❄️,Very cold,27.9,18.5,21,67
2026-01-31,🌧,Chilly with showers,43.8,26.1,29,64
2026-02-01,☁️,Cloudy & cool,49.3,30.2,20,59
2026-02-02,☁️,Cold & cloudy,38.9,23.1,13,59
2026-02-03,❄️,Very cold,27.3,15.2,17,59
2026-02-04,❄️,Very cold,23.6,14.2,28,65
2026-02-05,❄️,Very cold,25.5,15.1,20,72
2026-02-06,☁️,Cold & cloudy,35.9,14.8,28,70
2026-02-07,☁️,Cloudy & cool,41.8,18.0,0,76
2026-02-08,🌧,Chilly with showers,51.0,20.4,24,74
2026-02-09,☁️,Cloudy & cool,49.0,18.3,4,84
2026-02-10,☁️,Cloudy & cool,41.1,15.2,0,76
2026-02-11,☁️,Cloudy & cool,42.9,17.5,0,62
2026-02-12,🌧,Chilly with showers,48.9,21.3,26,63
2026-02-13,☁️,Cloudy & cool,46.9,24.8,18,70
2026-02-14,☁️,Cloudy & cool,47.5,25.9,0,80
2026-02-15,⛅,Cool with clouds,57.8,21.4,20,69
2026-02-16,🌦,Chance of showers,51.5,19.9,37,57
2026-02-17,❄️,Very cold,27.5,23.4,0,75
2026-02-18,❄️,Very cold,27.7,23.2,7,59
2026-02-19,☁️,Cold & cloudy,36.7,19.1,1,67
2026-02-20,☁️,Cold & cloudy,39.7,21.0,0,79
2026-02-21,☁️,Cold & cloudy,38.4,24.0,0,73
2026-02-22,🌦,Chance of showers,44.3,26.2,40,74
2026-02-23,🌧,Chilly with showers,43.9,32.6,26,63
2026-02-24,☁️,Cloudy & cool,45.3,34.5,0,66
2026-02-25,☁️,Cloudy & cool,52.6,35.8,0,74
2026-02-26,🌫,Cool and damp,62.7,38.6,21,100
