Date,Icon,Conditions,Max Temp (°F),Min Temp (°F),Precip (%),Humidity (%)
2025-11-29,☁️,Cloudy & cool,42.0,30.9,0,65
2025-11-30,☁️,Cold & cloudy,36.7,28.0,9,66
2025-12-01,☁️,Cold & cloudy,36.2,25.7,5,68
2025-12-02,☁️,Cloudy & cool,48.0,27.9,0,62
2025-12-03,☁️,Cloudy & cool,48.0,35.5,9,62
2025-12-04,☁️,Cold & cloudy,35.5,34.3,5,77
2025-12-05,☁️,Cold & cloudy,36.9,29.2,24,78
2025-12-06,🌦,Chance of showers,44.7,29.3,35,67
2025-12-07,🌦,Chance of showers,34.6,28.7,43,72
2025-12-08,❄️,Very cold,27.0,28.3,12,66
2025-12-09,☁️,Cold & cloudy,34.6,30.4,0,70
2025-12-10,☁️,Cold & cloudy,39.4,29.6,2,85
2025-12-11,❄️,Very cold,31.7,26.1,5,81
2025-12-12,☁️,Cold & cloudy,33.4,29.1,0,64
2025-12-13,☁️,Cold & cloudy,38.2,30.7,7,65
2025-12-14,☁️,Cold & cloudy,36.4,30.4,9,59
2025-12-15,☁️,Cold & cloudy,37.1,30.3,21,59
2025-12-16,🌧,Chilly with showers,42.5,30.3,26,65
2025-12-17,🌧,Chilly with showers,40.8,31.6,22,60
2025-12-18,☁️,Cold & cloudy,33.2,29.2,11,62
2025-12-19,☁️,Cold & cloudy,33.5,24.6,4,74
2025-12-20,☁️,Cloudy & cool,45.1,21.4,7,76
2025-12-21,☁️,Cloudy & cool,45.1,23.2,16,77
2025-12-22,🌧,Chilly with showers,43.7,27.2,21,68
2025-12-23,☁️,Cloudy & cool,44.1,29.2,11,60
2025-12-24,☁️,Cloudy & cool,41.1,31.7,14,70
2025-12-25,☁️,Cold & cloudy,38.0,26.2,7,66
2025-12-26,☁️,Cold & cloudy,36.6,17.6,0,69
2025-12-27,☁️,Cold & cloudy,37.1,18.5,6,59
2025-12-28,🌦,Chance of showers,37.5,22.1,34,67
2025-12-29,☁️,Cold & cloudy,34.2,23.9,13,86
2025-12-30,☁️,Cold & cloudy,35.0,23.7,20,67
2025-12-31,☁️,Cloudy & cool,42.8,21.7,6,70
2026-01-01,☁️,Cloudy & cool,49.0,23.8,9,67
2026-01-02,☁️,Cloudy & cool,49.0,26.5,1,71
2026-01-03,☁️,Cloudy & cool,45.4,23.2,18,67
2026-01-04,☁️,Cloudy & cool,48.7,19.8,1,62
2026-01-05,☁️,Cloudy & cool,45.6,19.2,0,65
2026-01-06,☁️,Cold & cloudy,34.4,15.8,4,71
2026-01-07,❄️,Very cold,23.7,9.8,23,70
2026-01-08,❄️,Very cold,25.2,6.1,10,80
2026-01-09,❄️,Very cold,29.8,7.6,16,73
2026-01-10,❄️,Very cold,27.8,13.7,7,61
2026-01-11,❄️,Very cold,19.9,16.5,22,52
2026-01-12,❄️,Very cold,22.5,19.0,29,65
2026-01-13,❄️,Very cold,26.1,21.8,5,69
2026-01-14,❄️,Very cold,31.8,21.8,0,75
2026-01-15,☁️,Cold & cloudy,36.5,22.1,5,80
2026-01-16,☁️,Cold & cloudy,36.7,20.4,10,68
2026-01-17,☁️,Cold & cloudy,37.1,16.5,0,71
2026-01-18,☁️,Cold & cloudy,38.7,16.8,3,69
2026-01-19,❄️,Very cold,29.1,17.9,8,72
2026-01-20,❄️,Very cold,27.1,16.4,0,68
2026-01-21,❄️,Very cold,31.7,12.5,3,69
2026-01-22,❄️,Very cold,26.9,17.1,9,68
2026-01-23,🌦,Chance of showers,27.7,23.1,44,71
2026-01-24,☁️,Cold & cloudy,32.1,27.6,16,75
2026-01-25,🌦,Chance of showers,36.6,28.1,35,66
2026-01-26,❄️,Very cold,30.2,26.8,7,74
2026-01-27,❄️,Very cold,30.6,22.5,27,78
2026-01-28,☁️,Cold & cloudy,35.4,19.9,12,74
2026-01-29,☁️,Cold & cloudy,32.9,18.0,5,62
2026-01-30,❄️,Very cold,27.6,19.0,24,76
2026-01-31,🌦,Chance of showers,42.1,25.9,44,65
2026-02-01,🌦,Chance of showers,48.6,28.5,33,61
2026-02-02,☁️,Cold & cloudy,38.3,21.9,0,59
2026-02-03,❄️,Very cold,27.1,13.9,1,69
