Date,Icon,Conditions,Max Temp (°F),Min Temp (°F),Precip (%),Humidity (%)
2025-11-29,☁️,Cloudy & cool,43.3,34.2,0,60
2025-11-30,☁️,Cold & cloudy,35.6,32.4,30,61
2025-12-01,☁️,Cold & cloudy,35.4,29.3,8,62
2025-12-02,☁️,Cloudy & cool,43.1,29.8,0,64
2025-12-03,☁️,Cloudy & cool,44.5,36.7,4,65
2025-12-04,☁️,Cold & cloudy,38.8,36.3,12,72
2025-12-05,☁️,Cloudy & cool,42.6,32.0,0,68
2025-12-06,☁️,Cloudy & cool,48.0,31.7,13,66
2025-12-07,🌦,Showers likely,36.6,30.8,53,61
2025-12-08,❄️,Very cold,32.0,30.2,19,64
2025-12-09,☁️,Cold & cloudy,38.9,30.2,7,65
2025-12-10,☁️,Cloudy & cool,43.6,28.3,10,71
2025-12-11,☁️,Cold & cloudy,39.3,26.0,0,69
2025-12-12,☁️,Cloudy & cool,40.7,30.4,0,68
2025-12-13,☁️,Cloudy & cool,41.2,31.3,6,60
2025-12-14,☁️,Cold & cloudy,38.6,29.8,14,56
2025-12-15,🌧,Chilly with showers,42.7,30.5,22,53
2025-12-16,🌦,Chance of showers,44.5,29.5,38,67
2025-12-17,☁️,Cold & cloudy,35.8,29.2,28,63
2025-12-18,☁️,Cold & cloudy,34.0,28.6,12,68
2025-12-19,🌦,Chance of showers,41.2,27.3,31,76
2025-12-20,🌧,Chilly with showers,49.0,25.8,28,62
2025-12-21,☁️,Cloudy & cool,45.4,26.5,19,68
2025-12-22,☁️,Cloudy & cool,44.6,29.8,16,66
2025-12-23,☁️,Cloudy & cool,47.0,30.9,14,62
2025-12-24,☁️,Cloudy & cool,42.1,32.2,0,79
2025-12-25,☁️,Cold & cloudy,39.7,27.3,15,71
2025-12-26,☁️,Cold & cloudy,37.4,20.5,9,73
2025-12-27,☁️,Cold & cloudy,36.0,21.0,9,60
2025-12-28,🌦,Chance of showers,36.0,22.7,37,69
2025-12-29,☁️,Cold & cloudy,37.6,24.0,4,79
2025-12-30,🌧,Chilly with showers,40.7,24.4,21,71
2025-12-31,☁️,Cloudy & cool,47.9,22.7,13,79
2026-01-01,☁️,Cloudy & cool,49.2,23.0,7,68
2026-01-02,☁️,Cloudy & cool,46.8,25.2,15,74
2026-01-03,🌦,Chance of showers,44.0,24.7,45,67
2026-01-04,☁️,Cloudy & cool,46.8,23.1,8,69
2026-01-05,☁️,Cloudy & cool,44.7,22.2,16,69
2026-01-06,☁️,Cold & cloudy,33.7,19.4,0,71
2026-01-07,❄️,Very cold,23.8,14.4,26,54
2026-01-08,🌦,Chance of showers,27.2,9.9,31,67
2026-01-09,❄️,Very cold,29.7,11.3,13,61
2026-01-10,❄️,Very cold,27.5,16.2,0,53
2026-01-11,❄️,Very cold,25.0,14.8,0,59
2026-01-12,🌦,Chance of showers,30.3,15.6,33,69
2026-01-13,❄️,Very cold,29.1,21.4,13,74
2026-01-14,❄️,Very cold,29.5,24.1,0,75
2026-01-15,☁️,Cold & cloudy,35.6,22.9,0,75
2026-01-16,🌦,Chance of showers,35.8,19.3,39,67
2026-01-17,☁️,Cold & cloudy,32.9,15.9,6,58
2026-01-18,☁️,Cold & cloudy,37.9,15.4,16,65
2026-01-19,☁️,Cold & cloudy,32.4,15.2,12,70
2026-01-20,❄️,Very cold,27.3,16.0,15,71
2026-01-21,❄️,Very cold,29.0,13.9,10,70
2026-01-22,❄️,Very cold,29.4,15.5,0,63
2026-01-23,🌦,Chance of showers,28.3,17.7,31,61
2026-01-24,🌦,Chance of showers,27.6,22.7,30,66
2026-01-25,☁️,Cold & cloudy,37.6,27.4,14,65
2026-01-26,☁️,Cold & cloudy,35.4,27.3,0,71
2026-01-27,❄️,Very cold,30.1,21.7,0,66
2026-01-28,☁️,Cold & cloudy,36.6,22.1,0,70
2026-01-29,☁️,Cold & cloudy,37.3,24.0,2,59
2026-01-30,❄️,Very cold,31.6,22.9,20,66
2026-01-31,☁️,Cold & cloudy,39.3,24.1,24,61
2026-02-01,☁️,Cloudy & cool,44.2,24.4,6,74
2026-02-02,☁️,Cloudy & cool,42.2,20.5,3,77
2026-02-03,☁️,Cold & cloudy,32.4,14.0,17,77
2026-02-04,❄️,Very cold,30.6,14.3,6,87
2026-02-05,❄️,Very cold,30.2,18.6,9,91
2026-02-06,☁️,Cold & cloudy,35.7,18.7,22,75
2026-02-07,☁️,Cold & cloudy,37.0,17.9,17,87
2026-02-08,☁️,Cloudy & cool,44.3,19.6,3,78
2026-02-09,☁️,Cloudy & cool,46.6,21.4,4,73
2026-02-10,☁️,Cloudy & cool,44.5,18.7,10,79
