Date,Icon,Conditions,Max Temp (°F),Min Temp (°F),Precip (%),Humidity (%)
2025-11-29,☁️,Cloudy & cool,43.5,33.8,3,59
2025-11-30,☁️,Cold & cloudy,37.3,32.2,24,63
2025-12-01,☁️,Cold & cloudy,36.6,29.0,10,67
2025-12-02,☁️,Cloudy & cool,43.5,28.8,0,67
2025-12-03,☁️,Cloudy & cool,45.7,35.9,2,65
2025-12-04,☁️,Cold & cloudy,39.9,36.2,5,73
2025-12-05,☁️,Cloudy & cool,42.1,31.7,1,72
2025-12-06,☁️,Cloudy & cool,47.3,30.9,18,65
2025-12-07,🌦,Chance of showers,36.2,29.8,49,67
2025-12-08,❄️,Very cold,31.2,29.9,18,64
2025-12-09,☁️,Cold & cloudy,37.8,31.0,0,66
2025-12-10,☁️,Cloudy & cool,42.8,29.2,2,69
2025-12-11,☁️,Cold & cloudy,37.6,26.9,0,68
2025-12-12,☁️,Cold & cloudy,39.2,30.9,0,63
2025-12-13,☁️,Cloudy & cool,41.1,31.2,14,57
2025-12-14,☁️,Cold & cloudy,39.2,30.4,22,55
2025-12-15,🌧,Chilly with showers,41.5,31.3,25,51
2025-12-16,☁️,Cloudy & cool,43.8,31.1,17,64
2025-12-17,☁️,Cold & cloudy,37.1,30.5,22,57
2025-12-18,☁️,Cold & cloudy,35.7,29.5,7,65
2025-12-19,🌦,Chance of showers,41.5,28.0,39,72
2025-12-20,🌦,Chance of showers,49.0,26.2,39,61
2025-12-21,🌦,Chance of showers,46.5,26.9,41,66
2025-12-22,☁️,Cloudy & cool,46.1,30.2,0,63
2025-12-23,☁️,Cloudy & cool,46.8,30.8,6,58
2025-12-24,☁️,Cloudy & cool,41.1,32.1,1,77
2025-12-25,☁️,Cold & cloudy,39.0,26.6,6,71
2025-12-26,☁️,Cold & cloudy,37.4,19.8,2,72
2025-12-27,☁️,Cold & cloudy,35.6,20.8,4,62
2025-12-28,☁️,Cold & cloudy,36.2,23.3,28,69
2025-12-29,☁️,Cold & cloudy,37.6,24.9,0,82
2025-12-30,☁️,Cold & cloudy,39.8,24.7,18,69
2025-12-31,☁️,Cloudy & cool,47.5,23.3,17,79
2026-01-01,☁️,Cloudy & cool,51.0,24.1,11,71
2026-01-02,☁️,Cloudy & cool,48.8,26.3,15,75
2026-01-03,🌦,Chance of showers,44.8,25.6,34,68
2026-01-04,☁️,Cloudy & cool,47.8,23.2,1,66
2026-01-05,☁️,Cloudy & cool,45.9,21.8,11,65
2026-01-06,☁️,Cold & cloudy,34.0,19.7,0,68
2026-01-07,❄️,Very cold,24.3,15.0,26,59
2026-01-08,❄️,Very cold,27.2,9.9,30,72
2026-01-09,❄️,Very cold,29.6,10.9,7,67
2026-01-10,❄️,Very cold,29.4,16.6,0,54
2026-01-11,❄️,Very cold,27.2,16.4,7,56
2026-01-12,🌦,Chance of showers,30.5,17.4,39,68
2026-01-13,❄️,Very cold,27.7,23.5,25,72
2026-01-14,❄️,Very cold,29.0,25.9,1,75
2026-01-15,☁️,Cold & cloudy,36.4,24.1,0,75
2026-01-16,🌦,Chance of showers,37.4,20.0,35,66
2026-01-17,☁️,Cold & cloudy,34.7,16.9,2,63
2026-01-18,☁️,Cold & cloudy,38.8,16.6,26,67
2026-01-19,🌦,Chance of showers,32.5,16.9,34,78
2026-01-20,❄️,Very cold,27.9,17.1,14,72
2026-01-21,❄️,Very cold,30.9,14.2,14,70
2026-01-22,❄️,Very cold,31.0,16.3,0,61
2026-01-23,🌦,Chance of showers,28.4,20.2,42,60
2026-01-24,🌦,Chance of showers,27.0,25.4,32,71
2026-01-25,🌦,Chance of showers,37.4,28.8,32,63
2026-01-26,☁️,Cold & cloudy,36.0,28.2,0,69
2026-01-27,❄️,Very cold,30.4,22.7,0,66
2026-01-28,☁️,Cold & cloudy,35.7,22.5,19,71
2026-01-29,☁️,Cold & cloudy,37.2,23.2,11,59
2026-01-30,🌦,Chance of showers,32.8,21.8,35,70
2026-01-31,🌧,Chilly with showers,40.4,25.7,21,59
2026-02-01,☁️,Cloudy & cool,44.6,27.3,10,76
2026-02-02,☁️,Cloudy & cool,41.7,22.1,1,75
2026-02-03,❄️,Very cold,31.1,13.9,4,79
2026-02-04,❄️,Very cold,29.4,13.6,24,82
2026-02-05,❄️,Very cold,29.5,16.7,14,85
2026-02-06,☁️,Cold & cloudy,34.6,16.5,23,77
2026-02-07,☁️,Cold & cloudy,36.6,17.9,1,86
2026-02-08,☁️,Cloudy & cool,46.1,20.1,16,72
2026-02-09,☁️,Cloudy & cool,48.7,20.5,0,76
2026-02-10,☁️,Cloudy & cool,45.2,18.3,0,80
2026-02-11,☁️,Cloudy & cool,40.4,19.5,10,62
2026-02-12,☁️,Cloudy & cool,40.9,20.6,5,62
2026-02-13,🌧,Chilly with showers,43.2,23.2,27,69
2026-02-14,☁️,Cloudy & cool,46.9,24.9,4,83
2026-02-15,⛅,Cool with clouds,56.4,22.3,8,74
2026-02-16,☁️,Cloudy & cool,47.5,20.6,16,70
2026-02-17,❄️,Very cold,28.2,23.9,15,78
2026-02-18,❄️,Very cold,29.7,24.8,3,71
2026-02-19,☁️,Cold & cloudy,38.7,21.7,0,70
2026-02-20,☁️,Cloudy & cool,40.9,20.9,0,76
2026-02-21,🌧,Chilly with showers,40.7,20.5,27,73
2026-02-22,🌦,Chance of showers,48.6,22.3,31,66
2026-02-23,☁️,Cloudy & cool,47.7,30.6,9,62
2026-02-24,☁️,Cloudy & cool,45.4,33.6,2,74
2026-02-25,☁️,Cloudy & cool,45.4,35.1,0,76
2026-02-26,🌫,Cool and damp,56.0,38.4,28,82
