Date,Icon,Conditions,Max Temp (°F),Min Temp (°F),Precip (%),Humidity (%)
2025-11-29,☁️,Cold & cloudy,39.4,31.0,24,73
2025-11-30,☁️,Cold & cloudy,39.0,27.0,0,72
2025-12-01,☁️,Cloudy & cool,40.5,22.2,0,70
2025-12-02,☁️,Cloudy & cool,43.7,23.1,0,78
2025-12-03,☁️,Cold & cloudy,39.0,28.4,0,81
2025-12-04,❄️,Very cold,27.9,29.0,20,79
2025-12-05,🌦,Chance of showers,31.4,26.9,45,67
2025-12-06,🌦,Showers likely,39.7,27.2,65,71
2025-12-07,❄️,Very cold,30.6,24.8,25,78
2025-12-08,❄️,Very cold,20.1,25.4,0,80
2025-12-09,❄️,Very cold,30.1,28.5,0,80
2025-12-10,☁️,Cloudy & cool,42.0,25.9,0,78
2025-12-11,☁️,Cold & cloudy,32.3,21.7,0,73
2025-12-12,❄️,Very cold,28.5,24.1,0,76
2025-12-13,☁️,Cold & cloudy,32.0,26.4,5,76
2025-12-14,☁️,Cold & cloudy,32.4,29.4,3,65
2025-12-15,☁️,Cold & cloudy,32.6,28.6,13,62
2025-12-16,☁️,Cloudy & cool,49.3,30.6,4,65
2025-12-17,🌧,Chilly with showers,45.4,32.5,25,72
2025-12-18,❄️,Very cold,31.1,28.9,24,80
2025-12-19,☁️,Cold & cloudy,34.4,24.7,8,82
2025-12-20,☁️,Cloudy & cool,43.9,20.7,14,72
2025-12-21,☁️,Cold & cloudy,37.2,21.1,2,83
2025-12-22,☁️,Cold & cloudy,33.9,24.4,24,77
2025-12-23,☁️,Cold & cloudy,38.0,24.9,0,69
2025-12-24,☁️,Cold & cloudy,35.1,23.7,13,74
2025-12-25,☁️,Cold & cloudy,36.0,19.6,28,77
2025-12-26,☁️,Cloudy & cool,42.0,17.1,0,75
2025-12-27,☁️,Cloudy & cool,43.8,17.8,10,73
2025-12-28,☁️,Cloudy & cool,41.8,17.6,11,62
2025-12-29,☁️,Cold & cloudy,34.5,19.1,0,74
2025-12-30,☁️,Cold & cloudy,36.3,22.1,7,70
2025-12-31,☁️,Cloudy & cool,45.4,24.0,0,76
2026-01-01,☁️,Cloudy & cool,46.9,27.8,11,72
2026-01-02,☁️,Cloudy & cool,41.4,28.9,15,68
2026-01-03,🌦,Chance of showers,36.0,22.6,33,66
2026-01-04,☁️,Cloudy & cool,42.3,17.8,8,58
2026-01-05,☁️,Cloudy & cool,40.7,20.1,0,54
2026-01-06,❄️,Very cold,27.7,16.9,21,60
2026-01-07,❄️,Very cold,17.5,5.5,25,70
2026-01-08,❄️,Very cold,20.9,-0.1,11,75
2026-01-09,❄️,Very cold,23.7,3.7,0,80
2026-01-10,❄️,Very cold,25.9,15.4,0,75
2026-01-11,❄️,Very cold,19.6,17.4,7,67
2026-01-12,🌦,Chance of showers,17.5,14.5,35,66
2026-01-13,❄️,Very cold,23.8,19.2,12,69
2026-01-14,❄️,Very cold,29.0,25.3,16,80
2026-01-15,❄️,Very cold,27.6,21.3,25,83
2026-01-16,🌦,Chance of showers,32.5,16.0,35,73
2026-01-17,☁️,Cloudy & cool,42.6,14.4,0,74
2026-01-18,🌧,Chilly with showers,43.0,18.1,27,80
2026-01-19,❄️,Very cold,31.9,18.6,1,82
2026-01-20,❄️,Very cold,30.3,12.7,15,79
2026-01-21,❄️,Very cold,31.3,8.7,0,72
2026-01-22,❄️,Very cold,28.7,15.9,2,80
2026-01-23,❄️,Very cold,29.3,27.4,25,75
2026-01-24,❄️,Very cold,27.0,35.1,16,69
2026-01-25,☁️,Cold & cloudy,32.0,31.7,18,72
2026-01-26,❄️,Very cold,26.1,26.5,15,81
2026-01-27,❄️,Very cold,15.6,22.5,13,62
2026-01-28,❄️,Very cold,20.1,15.3,22,58
2026-01-29,❄️,Very cold,29.5,8.7,0,56
2026-01-30,🌦,Chance of showers,35.0,12.5,43,76
2026-01-31,🌦,Chance of showers,46.6,29.1,50,75
2026-02-01,🌧,Chilly with showers,44.6,37.3,28,77
2026-02-02,☁️,Cold & cloudy,37.2,28.2,19,74
2026-02-03,❄️,Very cold,29.3,16.7,21,78
2026-02-04,❄️,Very cold,20.2,11.3,16,75
2026-02-05,❄️,Very cold,24.0,6.4,12,85
2026-02-06,☁️,Cloudy & cool,43.3,6.6,11,80
2026-02-07,☁️,Cloudy & cool,47.6,17.5,20,72
2026-02-08,🌦,Chance of showers,49.3,25.3,38,72
2026-02-09,🌦,Chance of showers,45.2,21.5,36,77
2026-02-10,☁️,Cold & cloudy,38.7,13.4,29,77
2026-02-11,☁️,Cloudy & cool,40.1,16.6,18,71
2026-02-12,🌦,Chance of showers,43.6,20.4,35,75
2026-02-13,🌦,Chance of showers,37.1,22.3,37,79
2026-02-14,☁️,Cloudy & cool,41.0,21.0,8,89
2026-02-15,☁️,Cloudy & cool,54.0,19.3,1,80
2026-02-16,🌧,Chilly with showers,45.4,21.8,25,71
2026-02-17,❄️,Very cold,26.4,23.9,19,72
2026-02-18,❄️,Very cold,28.1,23.9,0,67
2026-02-19,☁️,Cold & cloudy,35.6,19.5,0,73
2026-02-20,☁️,Cold & cloudy,40.0,21.2,0,70
2026-02-21,☁️,Cold & cloudy,35.6,30.2,0,67
2026-02-22,🌧,Chilly with showers,44.9,34.3,24,70
2026-02-23,🌦,Chance of showers,57.4,35.1,30,77
2026-02-24,🌫,Cool and damp,59.5,32.7,2,80
2026-02-25,☁️,Cloudy & cool,52.6,32.3,10,73
2026-02-26,🌦,Chance of showers,58.5,35.7,36,78
