Date,Icon,Conditions,Max Temp (°F),Min Temp (°F),Precip (%),Humidity (%)
2025-11-29,☁️,Cloudy & cool,43.1,31.0,6,65
2025-11-30,☁️,Cold & cloudy,36.7,27.6,10,57
2025-12-01,☁️,Cold & cloudy,36.1,24.9,10,64
2025-12-02,☁️,Cloudy & cool,47.0,27.8,0,61
2025-12-03,☁️,Cloudy & cool,47.2,35.6,17,65
2025-12-04,☁️,Cold & cloudy,35.6,34.5,11,75
2025-12-05,☁️,Cold & cloudy,38.5,30.1,9,74
2025-12-06,🌦,Showers likely,46.9,29.8,53,70
2025-12-07,🌦,Chance of showers,35.9,29.1,41,70
2025-12-08,❄️,Very cold,26.7,28.7,8,65
2025-12-09,☁️,Cold & cloudy,34.8,30.4,0,64
2025-12-10,🌧,Chilly with showers,40.4,29.5,24,78
2025-12-11,☁️,Cold & cloudy,32.9,26.1,17,77
2025-12-12,☁️,Cold & cloudy,35.3,29.3,0,67
2025-12-13,☁️,Cloudy & cool,40.4,30.8,18,59
2025-12-14,☁️,Cold & cloudy,36.8,30.0,7,53
2025-12-15,☁️,Cold & cloudy,35.7,30.7,19,56
2025-12-16,🌧,Chilly with showers,41.3,30.9,22,67
2025-12-17,☁️,Cold & cloudy,37.9,31.7,24,60
2025-12-18,❄️,Very cold,31.0,29.7,12,69
2025-12-19,☁️,Cold & cloudy,32.9,25.9,12,84
2025-12-20,🌧,Chilly with showers,43.1,22.6,21,73
2025-12-21,☁️,Cloudy & cool,41.8,23.3,10,75
2025-12-22,☁️,Cloudy & cool,42.2,25.8,3,65
2025-12-23,☁️,Cloudy & cool,44.5,27.0,14,58
2025-12-24,☁️,Cold & cloudy,39.5,30.7,5,76
2025-12-25,☁️,Cold & cloudy,35.4,26.7,12,66
2025-12-26,☁️,Cold & cloudy,34.6,18.8,0,71
2025-12-27,☁️,Cold & cloudy,37.6,19.2,0,57
2025-12-28,☁️,Cold & cloudy,37.8,21.6,24,63
2025-12-29,☁️,Cold & cloudy,34.3,23.2,0,79
2025-12-30,☁️,Cold & cloudy,35.2,22.7,7,61
2025-12-31,☁️,Cloudy & cool,42.8,20.8,0,68
2026-01-01,☁️,Cloudy & cool,48.2,23.1,4,61
2026-01-02,☁️,Cloudy & cool,48.3,25.7,11,71
2026-01-03,🌦,Chance of showers,44.9,23.2,30,69
2026-01-04,☁️,Cloudy & cool,48.5,20.1,1,66
2026-01-05,☁️,Cloudy & cool,44.1,18.5,13,62
2026-01-06,❄️,Very cold,31.0,14.2,13,69
2026-01-07,❄️,Very cold,21.4,8.4,15,68
2026-01-08,❄️,Very cold,25.2,5.5,13,80
2026-01-09,❄️,Very cold,29.3,7.9,19,64
2026-01-10,❄️,Very cold,29.1,13.6,15,52
2026-01-11,❄️,Very cold,23.2,15.4,13,51
2026-01-12,❄️,Very cold,24.0,18.5,25,57
2026-01-13,❄️,Very cold,24.8,21.4,2,68
2026-01-14,❄️,Very cold,31.8,20.6,15,79
2026-01-15,☁️,Cold & cloudy,38.6,21.6,0,81
2026-01-16,☁️,Cold & cloudy,37.4,20.9,1,66
2026-01-17,☁️,Cold & cloudy,35.5,17.1,0,67
2026-01-18,☁️,Cold & cloudy,37.7,17.3,0,69
2026-01-19,❄️,Very cold,31.1,18.3,7,68
2026-01-20,❄️,Very cold,27.5,16.4,17,70
2026-01-21,❄️,Very cold,30.1,12.6,7,72
2026-01-22,❄️,Very cold,26.7,17.3,0,67
2026-01-23,❄️,Very cold,26.7,23.1,21,70
2026-01-24,❄️,Very cold,30.1,26.6,18,71
2026-01-25,🌦,Chance of showers,37.8,26.5,35,66
2026-01-26,🌦,Chance of showers,33.8,24.9,38,70
2026-01-27,☁️,Cold & cloudy,32.7,21.6,26,76
2026-01-28,☁️,Cold & cloudy,34.7,20.7,16,74
2026-01-29,❄️,Very cold,31.5,19.2,10,63
2026-01-30,❄️,Very cold,29.4,19.3,17,73
2026-01-31,🌦,Chance of showers,43.8,24.7,31,61
2026-02-01,☁️,Cloudy & cool,47.3,26.6,19,62
2026-02-02,☁️,Cold & cloudy,38.1,21.1,0,65
2026-02-03,❄️,Very cold,28.3,14.5,4,68
2026-02-04,❄️,Very cold,26.0,13.7,7,82
2026-02-05,❄️,Very cold,26.5,15.4,16,81
2026-02-06,☁️,Cold & cloudy,35.1,16.2,12,71
2026-02-07,☁️,Cold & cloudy,39.9,18.1,5,82
2026-02-08,🌧,Chilly with showers,49.9,19.8,21,80
2026-02-09,☁️,Cloudy & cool,50.7,19.5,15,85
2026-02-10,☁️,Cloudy & cool,44.3,16.6,18,84
2026-02-11,☁️,Cloudy & cool,41.8,16.6,18,57
2026-02-12,🌦,Chance of showers,44.5,19.5,33,59
2026-02-13,🌧,Chilly with showers,44.5,24.5,25,71
2026-02-14,☁️,Cloudy & cool,47.0,27.5,0,83
2026-02-15,⛅,Cool with clouds,56.0,23.7,8,77
2026-02-16,🌦,Chance of showers,49.5,20.0,46,67
2026-02-17,❄️,Very cold,27.5,22.4,0,73
2026-02-18,❄️,Very cold,27.2,22.9,15,59
2026-02-19,☁️,Cold & cloudy,36.2,20.6,0,67
2026-02-20,☁️,Cold & cloudy,39.3,21.7,0,82
2026-02-21,☁️,Cold & cloudy,39.0,23.3,9,78
2026-02-22,☁️,Cloudy & cool,45.1,24.5,18,73
2026-02-23,🌦,Chance of showers,43.7,31.0,41,61
2026-02-24,☁️,Cloudy & cool,44.6,33.6,0,65
2026-02-25,☁️,Cloudy & cool,51.2,34.5,0,67
2026-02-26,🌦,Chance of showers,62.1,36.9,37,87
