Date,Icon,Conditions,Max Temp (°F),Min Temp (°F),Precip (%),Humidity (%)
2025-11-29,☁️,Cold & cloudy,37.6,27.7,15,71
2025-11-30,☁️,Cold & cloudy,33.2,25.0,23,72
2025-12-01,☁️,Cold & cloudy,36.1,23.2,0,85
2025-12-02,☁️,Cloudy & cool,44.6,24.8,0,75
2025-12-03,☁️,Cold & cloudy,38.9,31.8,0,64
2025-12-04,❄️,Very cold,27.6,30.5,0,75
2025-12-05,☁️,Cold & cloudy,35.7,26.3,25,77
2025-12-06,🌧,Chilly with showers,44.6,24.2,27,67
2025-12-07,☁️,Cold & cloudy,36.2,22.1,26,62
2025-12-08,❄️,Very cold,27.6,22.5,0,68
2025-12-09,☁️,Cold & cloudy,33.1,25.3,0,68
2025-12-10,☁️,Cold & cloudy,35.7,26.1,0,81
2025-12-11,❄️,Very cold,29.7,23.9,13,79
2025-12-12,☁️,Cold & cloudy,32.8,25.0,14,72
2025-12-13,☁️,Cold & cloudy,39.1,22.9,8,70
2025-12-14,☁️,Cold & cloudy,33.8,23.2,0,64
2025-12-15,☁️,Cold & cloudy,32.8,26.9,13,55
2025-12-16,☁️,Cloudy & cool,42.4,24.0,12,60
2025-12-17,🌦,Chance of showers,39.2,22.8,47,62
2025-12-18,❄️,Very cold,28.5,23.8,16,70
2025-12-19,❄️,Very cold,30.0,23.3,13,76
2025-12-20,🌦,Chance of showers,39.3,18.5,31,65
2025-12-21,☁️,Cold & cloudy,38.2,17.1,8,76
2025-12-22,☁️,Cloudy & cool,40.8,19.8,12,80
2025-12-23,☁️,Cloudy & cool,43.7,21.3,8,71
2025-12-24,☁️,Cold & cloudy,37.5,24.3,0,76
2025-12-25,☁️,Cold & cloudy,32.4,20.1,11,74
2025-12-26,❄️,Very cold,31.0,12.7,17,73
2025-12-27,☁️,Cold & cloudy,34.8,14.4,7,60
2025-12-28,🌦,Chance of showers,35.4,18.7,43,59
2025-12-29,❄️,Very cold,28.3,20.7,24,71
2025-12-30,❄️,Very cold,28.2,20.0,10,56
2025-12-31,☁️,Cold & cloudy,38.2,17.0,3,63
2026-01-01,☁️,Cloudy & cool,45.2,17.8,0,67
2026-01-02,☁️,Cloudy & cool,44.5,16.7,17,66
2026-01-03,☁️,Cloudy & cool,40.4,11.3,5,65
2026-01-04,☁️,Cloudy & cool,46.5,11.0,0,68
2026-01-05,☁️,Cloudy & cool,44.6,14.2,0,79
2026-01-06,❄️,Very cold,29.0,10.2,0,81
2026-01-07,❄️,Very cold,15.4,2.5,22,69
2026-01-08,❄️,Very cold,22.2,-1.3,6,72
2026-01-09,❄️,Very cold,24.0,2.4,4,62
2026-01-10,❄️,Very cold,20.0,6.9,0,68
2026-01-11,❄️,Very cold,16.0,8.6,3,62
2026-01-12,❄️,Very cold,19.7,9.8,4,73
2026-01-13,❄️,Very cold,20.0,10.3,11,75
2026-01-14,❄️,Very cold,26.4,11.4,6,71
2026-01-15,☁️,Cold & cloudy,33.7,14.3,17,76
2026-01-16,☁️,Cold & cloudy,33.5,14.0,15,77
2026-01-17,☁️,Cold & cloudy,32.4,9.8,0,65
2026-01-18,☁️,Cold & cloudy,32.9,10.3,17,60
2026-01-19,❄️,Very cold,30.4,11.5,7,69
2026-01-20,❄️,Very cold,28.1,9.2,20,68
2026-01-21,❄️,Very cold,25.7,4.4,3,68
2026-01-22,❄️,Very cold,20.2,8.9,8,68
2026-01-23,🌦,Chance of showers,22.0,13.8,34,66
2026-01-24,❄️,Very cold,22.8,18.6,0,67
2026-01-25,🌦,Chance of showers,28.3,20.0,39,69
2026-01-26,🌦,Chance of showers,25.7,18.2,34,74
2026-01-27,❄️,Very cold,20.8,14.4,3,70
2026-01-28,❄️,Very cold,23.5,13.4,10,58
2026-01-29,❄️,Very cold,25.9,12.8,13,55
2026-01-30,❄️,Very cold,25.8,13.6,29,76
2026-01-31,☁️,Cold & cloudy,39.5,18.5,10,79
2026-02-01,☁️,Cloudy & cool,43.7,20.3,12,70
2026-02-02,🌦,Chance of showers,34.5,14.4,31,66
2026-02-03,❄️,Very cold,23.6,8.1,16,80
2026-02-04,❄️,Very cold,20.3,7.5,9,79
2026-02-05,❄️,Very cold,26.6,10.8,8,76
2026-02-06,☁️,Cold & cloudy,38.4,13.2,25,70
2026-02-07,☁️,Cold & cloudy,39.2,13.1,0,78
2026-02-08,☁️,Cloudy & cool,45.4,11.9,15,75
2026-02-09,🌧,Chilly with showers,41.9,12.6,21,86
2026-02-10,🌦,Chance of showers,35.6,10.8,35,88
2026-02-11,☁️,Cold & cloudy,36.8,11.3,28,72
2026-02-12,☁️,Cold & cloudy,39.2,13.6,30,73
2026-02-13,🌦,Chance of showers,34.6,17.0,40,79
2026-02-14,☁️,Cold & cloudy,39.9,21.8,4,78
2026-02-15,⛅,Cool with clouds,56.6,20.1,0,76
2026-02-16,☁️,Cloudy & cool,51.8,17.6,6,72
2026-02-17,❄️,Very cold,25.9,19.3,16,80
2026-02-18,❄️,Very cold,20.5,17.6,24,66
2026-02-19,❄️,Very cold,29.2,15.9,0,71
2026-02-20,☁️,Cold & cloudy,35.7,19.4,26,76
2026-02-21,❄️,Very cold,31.6,21.2,10,73
2026-02-22,🌦,Chance of showers,37.2,22.5,42,67
2026-02-23,☁️,Cold & cloudy,39.4,28.6,19,67
2026-02-24,☁️,Cloudy & cool,40.3,30.7,13,77
2026-02-25,☁️,Cloudy & cool,44.5,30.3,9,76
2026-02-26,🌦,Chance of showers,54.8,31.8,33,79
