Date,Icon,Conditions,Max Temp (°F),Min Temp (°F),Precip (%),Humidity (%)
2025-11-29,☁️,Cloudy & cool,40.6,25.5,18,71
2025-11-30,☁️,Cold & cloudy,35.3,20.4,17,64
2025-12-01,☁️,Cold & cloudy,37.3,20.0,2,70
2025-12-02,☁️,Cloudy & cool,45.3,23.2,0,76
2025-12-03,☁️,Cold & cloudy,37.8,27.1,19,72
2025-12-04,❄️,Very cold,23.1,24.6,19,84
2025-12-05,❄️,Very cold,29.6,22.0,25,72
2025-12-06,🌦,Chance of showers,40.2,24.4,40,65
2025-12-07,❄️,Very cold,30.9,23.9,22,77
2025-12-08,❄️,Very cold,20.5,24.1,0,77
2025-12-09,❄️,Very cold,26.4,26.0,1,76
2025-12-10,☁️,Cold & cloudy,32.0,25.6,0,83
2025-12-11,❄️,Very cold,24.2,21.3,0,85
2025-12-12,❄️,Very cold,26.7,21.8,12,73
2025-12-13,🌦,Chance of showers,33.6,21.5,31,76
2025-12-14,❄️,Very cold,31.7,23.2,0,69
2025-12-15,❄️,Very cold,29.8,27.0,17,63
2025-12-16,☁️,Cloudy & cool,42.0,26.0,5,60
2025-12-17,☁️,Cold & cloudy,39.8,25.8,19,66
2025-12-18,❄️,Very cold,26.6,24.1,1,81
2025-12-19,❄️,Very cold,27.8,22.5,0,84
2025-12-20,☁️,Cold & cloudy,39.2,18.1,0,74
2025-12-21,☁️,Cold & cloudy,36.3,16.5,11,81
2025-12-22,🌦,Chance of showers,34.1,19.6,34,73
2025-12-23,☁️,Cold & cloudy,37.9,23.3,18,63
2025-12-24,❄️,Very cold,32.0,25.8,8,74
2025-12-25,❄️,Very cold,26.8,20.7,15,73
2025-12-26,❄️,Very cold,30.1,12.0,1,78
2025-12-27,☁️,Cold & cloudy,36.8,13.5,0,72
2025-12-28,☁️,Cold & cloudy,37.8,17.8,22,63
2025-12-29,❄️,Very cold,30.2,17.5,11,78
2025-12-30,☁️,Cold & cloudy,32.1,17.1,1,65
2025-12-31,☁️,Cloudy & cool,42.3,16.6,0,68
2026-01-01,☁️,Cloudy & cool,49.7,20.7,12,70
2026-01-02,☁️,Cloudy & cool,47.8,21.8,10,62
2026-01-03,☁️,Cloudy & cool,41.4,16.0,10,63
2026-01-04,☁️,Cloudy & cool,46.9,12.3,0,63
2026-01-05,☁️,Cloudy & cool,45.9,13.6,6,70
2026-01-06,❄️,Very cold,29.2,9.2,16,68
2026-01-07,❄️,Very cold,16.2,-0.3,18,68
2026-01-08,❄️,Very cold,20.6,-2.9,10,75
2026-01-09,❄️,Very cold,23.1,3.1,16,76
2026-01-10,❄️,Very cold,21.7,10.4,0,69
2026-01-11,❄️,Very cold,15.2,11.2,8,66
2026-01-12,❄️,Very cold,16.4,10.9,0,69
2026-01-13,❄️,Very cold,23.3,12.4,2,64
2026-01-14,☁️,Cold & cloudy,33.7,12.6,0,71
2026-01-15,☁️,Cold & cloudy,34.6,13.3,6,78
2026-01-16,☁️,Cold & cloudy,32.4,16.1,14,80
2026-01-17,☁️,Cold & cloudy,36.2,14.2,0,71
2026-01-18,☁️,Cold & cloudy,35.6,15.0,1,71
2026-01-19,❄️,Very cold,27.2,14.7,4,70
2026-01-20,❄️,Very cold,26.4,10.4,14,71
2026-01-21,❄️,Very cold,26.8,4.0,0,75
2026-01-22,❄️,Very cold,23.1,10.1,4,72
2026-01-23,🌦,Chance of showers,26.7,19.5,41,61
2026-01-24,❄️,Very cold,25.9,24.7,13,71
2026-01-25,❄️,Very cold,27.3,22.1,16,68
2026-01-26,❄️,Very cold,21.6,19.2,2,76
2026-01-27,❄️,Very cold,22.6,16.6,23,72
2026-01-28,❄️,Very cold,28.1,12.8,20,60
2026-01-29,🌦,Chance of showers,28.0,9.3,31,61
2026-01-30,🌦,Chance of showers,26.9,13.6,31,65
2026-01-31,🌦,Chance of showers,39.4,23.5,39,70
2026-02-01,☁️,Cloudy & cool,40.1,24.3,10,70
2026-02-02,☁️,Cold & cloudy,34.1,16.1,17,81
2026-02-03,❄️,Very cold,26.5,9.9,8,81
2026-02-04,❄️,Very cold,20.0,7.8,5,76
2026-02-05,❄️,Very cold,22.0,6.5,14,72
2026-02-06,☁️,Cold & cloudy,36.1,6.4,8,70
2026-02-07,☁️,Cloudy & cool,41.0,9.9,17,73
2026-02-08,🌧,Chilly with showers,45.7,13.5,24,68
2026-02-09,🌧,Chilly with showers,42.0,12.9,30,71
2026-02-10,☁️,Cold & cloudy,33.9,8.7,16,75
2026-02-11,☁️,Cold & cloudy,37.0,8.5,14,66
2026-02-12,🌦,Chance of showers,43.8,13.3,33,74
2026-02-13,🌧,Chilly with showers,40.6,20.5,26,75
2026-02-14,☁️,Cloudy & cool,41.7,24.5,9,80
2026-02-15,☁️,Cloudy & cool,54.4,20.4,0,70
2026-02-16,🌦,Chance of showers,46.3,16.0,33,64
2026-02-17,❄️,Very cold,23.4,16.0,16,70
2026-02-18,❄️,Very cold,22.7,16.3,2,71
2026-02-19,❄️,Very cold,28.6,14.6,0,68
2026-02-20,☁️,Cold & cloudy,33.6,16.0,13,72
2026-02-21,☁️,Cold & cloudy,32.8,21.2,0,72
2026-02-22,☁️,Cloudy & cool,41.0,24.9,20,72
2026-02-23,☁️,Cloudy & cool,42.6,30.5,11,67
2026-02-24,☁️,Cloudy & cool,42.8,32.8,8,75
2026-02-25,☁️,Cloudy & cool,45.5,34.6,11,70
2026-02-26,🌧,Chilly with showers,54.7,36.7,26,78
