Date,Icon,Conditions,Max Temp (°F),Min Temp (°F),Precip (%),Humidity (%)
2025-11-29,☁️,Cold & cloudy,39.3,28.7,15,71
2025-11-30,☁️,Cold & cloudy,32.9,24.8,14,72
2025-12-01,☁️,Cold & cloudy,35.7,23.2,0,80
2025-12-02,☁️,Cloudy & cool,45.9,25.5,0,71
2025-12-03,☁️,Cloudy & cool,41.7,31.6,6,65
2025-12-04,❄️,Very cold,29.6,29.5,4,74
2025-12-05,☁️,Cold & cloudy,37.7,26.7,24,73
2025-12-06,🌦,Chance of showers,47.3,26.7,38,63
2025-12-07,🌦,Chance of showers,38.2,25.2,42,62
2025-12-08,❄️,Very cold,29.0,25.3,11,66
2025-12-09,☁️,Cold & cloudy,33.2,27.4,0,69
2025-12-10,☁️,Cold & cloudy,36.2,25.7,0,84
2025-12-11,❄️,Very cold,30.8,22.2,16,79
2025-12-12,☁️,Cold & cloudy,33.2,24.5,15,67
2025-12-13,☁️,Cold & cloudy,38.0,24.3,12,71
2025-12-14,☁️,Cold & cloudy,34.4,25.0,6,70
2025-12-15,☁️,Cold & cloudy,35.4,28.6,14,54
2025-12-16,☁️,Cloudy & cool,43.9,27.5,10,63
2025-12-17,🌦,Chance of showers,38.7,27.3,43,64
2025-12-18,❄️,Very cold,26.9,27.1,0,71
2025-12-19,❄️,Very cold,27.5,25.9,3,80
2025-12-20,🌦,Chance of showers,38.6,21.4,32,74
2025-12-21,☁️,Cold & cloudy,38.6,20.3,17,81
2025-12-22,☁️,Cold & cloudy,39.5,21.7,24,77
2025-12-23,☁️,Cloudy & cool,42.3,21.9,15,70
2025-12-24,☁️,Cold & cloudy,38.6,26.7,0,78
2025-12-25,☁️,Cold & cloudy,34.4,23.6,15,75
2025-12-26,❄️,Very cold,31.9,14.4,0,76
2025-12-27,☁️,Cold & cloudy,35.2,13.8,8,59
2025-12-28,☁️,Cold & cloudy,35.9,16.9,26,61
2025-12-29,❄️,Very cold,28.9,20.1,18,81
2025-12-30,❄️,Very cold,28.8,20.9,10,60
2025-12-31,☁️,Cold & cloudy,38.5,19.2,0,67
2026-01-01,☁️,Cloudy & cool,46.3,20.2,0,72
2026-01-02,☁️,Cloudy & cool,47.3,19.9,20,65
2026-01-03,☁️,Cloudy & cool,43.9,16.2,11,58
2026-01-04,☁️,Cloudy & cool,47.5,15.5,0,59
2026-01-05,☁️,Cloudy & cool,43.6,14.8,2,72
2026-01-06,❄️,Very cold,28.5,9.0,8,77
2026-01-07,❄️,Very cold,16.9,2.6,23,67
2026-01-08,❄️,Very cold,22.4,1.0,9,74
2026-01-09,❄️,Very cold,26.2,4.0,6,62
2026-01-10,❄️,Very cold,23.6,9.9,0,65
2026-01-11,❄️,Very cold,18.2,12.1,1,55
2026-01-12,❄️,Very cold,21.5,13.8,10,67
2026-01-13,❄️,Very cold,23.0,14.5,5,68
2026-01-14,❄️,Very cold,29.1,14.1,0,71
2026-01-15,☁️,Cold & cloudy,36.2,16.8,17,70
2026-01-16,☁️,Cold & cloudy,37.1,17.1,24,72
2026-01-17,☁️,Cold & cloudy,36.4,12.9,0,61
2026-01-18,☁️,Cold & cloudy,35.8,13.4,28,61
2026-01-19,❄️,Very cold,29.7,15.7,14,72
2026-01-20,🌦,Chance of showers,26.2,12.7,31,69
2026-01-21,❄️,Very cold,26.4,5.8,4,73
2026-01-22,❄️,Very cold,22.8,9.2,22,69
2026-01-23,🌦,Chance of showers,24.5,16.9,30,63
2026-01-24,❄️,Very cold,25.5,22.7,4,66
2026-01-25,🌦,Chance of showers,29.5,23.4,32,63
2026-01-26,🌦,Chance of showers,23.5,20.8,39,73
2026-01-27,❄️,Very cold,20.9,16.0,15,72
2026-01-28,❄️,Very cold,26.6,14.8,7,67
2026-01-29,❄️,Very cold,26.9,15.3,13,61
2026-01-30,❄️,Very cold,25.0,16.6,29,72
2026-01-31,☁️,Cold & cloudy,39.9,22.0,22,68
2026-02-01,☁️,Cloudy & cool,44.3,23.8,0,67
2026-02-02,🌦,Chance of showers,34.8,17.4,37,66
2026-02-03,❄️,Very cold,25.0,11.0,26,78
2026-02-04,❄️,Very cold,21.7,10.3,21,80
2026-02-05,❄️,Very cold,25.5,11.3,19,80
2026-02-06,☁️,Cold & cloudy,37.0,12.9,16,69
2026-02-07,☁️,Cold & cloudy,39.6,14.7,10,80
2026-02-08,🌦,Chance of showers,45.8,13.4,37,80
2026-02-09,🌦,Chance of showers,42.4,12.1,36,86
2026-02-10,☁️,Cold & cloudy,36.8,11.4,18,84
2026-02-11,☁️,Cold & cloudy,39.0,12.6,12,63
2026-02-12,🌦,Chance of showers,43.0,15.5,35,72
2026-02-13,🌦,Chance of showers,38.2,20.2,36,75
2026-02-14,☁️,Cloudy & cool,42.0,24.5,16,73
2026-02-15,⛅,Cool with clouds,56.0,20.4,1,69
2026-02-16,🌧,Chilly with showers,50.0,17.6,20,65
2026-02-17,❄️,Very cold,26.2,20.8,20,76
2026-02-18,❄️,Very cold,23.7,19.7,10,62
2026-02-19,❄️,Very cold,31.4,15.7,0,63
2026-02-20,☁️,Cold & cloudy,35.7,18.7,1,70
2026-02-21,☁️,Cold & cloudy,33.7,21.2,12,75
2026-02-22,🌧,Chilly with showers,40.4,22.9,27,69
2026-02-23,☁️,Cloudy & cool,40.3,29.6,0,65
2026-02-24,☁️,Cloudy & cool,40.1,31.7,17,67
2026-02-25,☁️,Cloudy & cool,46.4,31.8,0,74
2026-02-26,🌫,Cool and damp,57.2,33.9,14,88
