Date,Icon,Conditions,Max Temp (°F),Min Temp (°F),Precip (%),Humidity (%)
2025-11-29,☁️,Cloudy & cool,41.2,31.8,0,69
2025-11-30,☁️,Cold & cloudy,35.6,28.9,10,67
2025-12-01,☁️,Cold & cloudy,36.6,26.5,13,66
2025-12-02,☁️,Cloudy & cool,48.0,28.1,0,60
2025-12-03,☁️,Cloudy & cool,46.4,35.1,5,62
2025-12-04,☁️,Cold & cloudy,33.9,33.2,0,79
2025-12-05,☁️,Cold & cloudy,36.0,27.7,13,80
2025-12-06,🌧,Chilly with showers,44.6,28.4,21,62
2025-12-07,🌦,Chance of showers,34.7,28.3,39,70
2025-12-08,❄️,Very cold,26.8,28.8,5,63
2025-12-09,☁️,Cold & cloudy,33.7,31.1,0,67
2025-12-10,☁️,Cold & cloudy,38.1,30.2,0,74
2025-12-11,❄️,Very cold,31.2,27.0,19,73
2025-12-12,☁️,Cold & cloudy,34.1,30.7,7,62
2025-12-13,☁️,Cold & cloudy,38.2,31.2,17,61
2025-12-14,☁️,Cold & cloudy,36.1,30.8,9,62
2025-12-15,☁️,Cold & cloudy,35.6,31.5,30,61
2025-12-16,🌦,Chance of showers,41.1,33.1,36,65
2025-12-17,☁️,Cold & cloudy,40.0,33.8,28,63
2025-12-18,☁️,Cold & cloudy,32.3,30.4,7,62
2025-12-19,☁️,Cold & cloudy,33.2,26.1,11,76
2025-12-20,☁️,Cloudy & cool,44.7,22.7,18,81
2025-12-21,☁️,Cloudy & cool,44.4,23.6,9,82
2025-12-22,☁️,Cloudy & cool,42.4,27.0,7,65
2025-12-23,☁️,Cloudy & cool,42.2,29.1,17,57
2025-12-24,☁️,Cold & cloudy,38.4,32.0,10,71
2025-12-25,☁️,Cold & cloudy,36.2,26.7,6,73
2025-12-26,☁️,Cold & cloudy,36.9,18.6,0,71
2025-12-27,☁️,Cold & cloudy,38.1,18.3,6,66
2025-12-28,🌦,Chance of showers,38.5,21.0,33,74
2025-12-29,☁️,Cold & cloudy,35.5,23.3,3,83
2025-12-30,☁️,Cold & cloudy,36.3,24.3,4,63
2025-12-31,☁️,Cloudy & cool,43.6,23.4,14,67
2026-01-01,☁️,Cloudy & cool,49.3,25.5,3,69
2026-01-02,☁️,Cloudy & cool,49.0,28.1,4,73
2026-01-03,☁️,Cloudy & cool,45.7,24.6,19,69
2026-01-04,☁️,Cloudy & cool,49.1,20.7,0,65
2026-01-05,☁️,Cloudy & cool,45.9,19.6,0,66
2026-01-06,☁️,Cold & cloudy,34.9,16.7,2,74
2026-01-07,❄️,Very cold,24.0,10.2,16,70
2026-01-08,❄️,Very cold,25.3,6.3,20,81
2026-01-09,❄️,Very cold,29.5,9.4,11,77
2026-01-10,❄️,Very cold,28.7,17.0,6,58
2026-01-11,❄️,Very cold,22.1,18.7,3,58
2026-01-12,❄️,Very cold,24.4,19.5,16,70
2026-01-13,❄️,Very cold,28.2,22.5,9,75
2026-01-14,☁️,Cold & cloudy,34.3,23.5,0,80
2026-01-15,☁️,Cold & cloudy,37.7,23.6,0,82
2026-01-16,☁️,Cold & cloudy,36.8,21.2,11,75
2026-01-17,☁️,Cold & cloudy,37.5,17.7,13,76
2026-01-18,☁️,Cold & cloudy,38.9,19.4,0,72
2026-01-19,❄️,Very cold,29.9,21.0,6,75
2026-01-20,❄️,Very cold,28.6,18.0,10,75
2026-01-21,☁️,Cold & cloudy,33.8,12.9,2,73
2026-01-22,❄️,Very cold,29.5,18.2,4,67
2026-01-23,❄️,Very cold,29.1,26.0,27,66
2026-01-24,❄️,Very cold,32.0,30.6,9,72
2026-01-25,☁️,Cold & cloudy,37.1,29.3,23,66
2026-01-26,❄️,Very cold,31.0,26.5,10,75
2026-01-27,❄️,Very cold,30.5,22.7,10,79
2026-01-28,☁️,Cold & cloudy,36.5,21.5,16,76
2026-01-29,☁️,Cold & cloudy,35.4,19.9,11,61
2026-01-30,❄️,Very cold,30.2,19.8,12,67
2026-01-31,☁️,Cloudy & cool,43.1,27.1,20,61
2026-02-01,☁️,Cloudy & cool,47.9,31.4,18,62
2026-02-02,☁️,Cold & cloudy,37.8,25.3,0,60
2026-02-03,❄️,Very cold,26.8,16.2,0,64
2026-02-04,❄️,Very cold,23.2,13.9,11,76
