unique_id,ds,temp_F
"State College, PA",2025-12-03 00:00:00,-2.6520247
"State College, PA",2025-12-03 01:00:00,-2.1738791
"State College, PA",2025-12-03 02:00:00,-2.1948886
"State College, PA",2025-12-03 03:00:00,-2.80064
"State College, PA",2025-12-03 04:00:00,-2.748001
"State College, PA",2025-12-03 05:00:00,-2.3532043
"State College, PA",2025-12-03 06:00:00,-2.763093
"State College, PA",2025-12-03 07:00:00,-3.3213735
"State College, PA",2025-12-03 08:00:00,-2.792234
"State College, PA",2025-12-03 09:00:00,-1.5126643
"State College, PA",2025-12-03 10:00:00,0.37549138
"State College, PA",2025-12-03 11:00:00,-0.6506405
"State College, PA",2025-12-03 12:00:00,-0.1906004
"State College, PA",2025-12-03 13:00:00,1.0891302
"State College, PA",2025-12-03 14:00:00,1.5269196
"State College, PA",2025-12-03 15:00:00,0.5840697
"State College, PA",2025-12-03 16:00:00,-1.1339154
"State College, PA",2025-12-03 17:00:00,-0.9953828
"State College, PA",2025-12-03 18:00:00,-2.9944005
"State College, PA",2025-12-03 19:00:00,-2.9763417
"State College, PA",2025-12-03 20:00:00,-3.1198697
"State College, PA",2025-12-03 21:00:00,-3.7387333
"State College, PA",2025-12-03 22:00:00,-3.7940216
"State College, PA",2025-12-03 23:00:00,-3.1470556
"State College, PA",2025-12-04 00:00:00,-3.1568542
"State College, PA",2025-12-04 01:00:00,-2.845141
"State College, PA",2025-12-04 02:00:00,-3.719298
"State College, PA",2025-12-04 03:00:00,-4.930459
"State College, PA",2025-12-04 04:00:00,-4.2174892
"State College, PA",2025-12-04 05:00:00,-3.3105597
"State College, PA",2025-12-04 06:00:00,-3.2568703
"State College, PA",2025-12-04 07:00:00,-3.9569979
"State College, PA",2025-12-04 08:00:00,-2.0279002
"State College, PA",2025-12-04 09:00:00,-0.9859185
"State College, PA",2025-12-04 10:00:00,-0.34559965
"State College, PA",2025-12-04 11:00:00,-0.8319535
"State College, PA",2025-12-04 12:00:00,0.9442992
"State College, PA",2025-12-04 13:00:00,0.073785305
"State College, PA",2025-12-04 14:00:00,0.8003366
"State College, PA",2025-12-04 15:00:00,-0.63421726
"State College, PA",2025-12-04 16:00:00,-0.68357277
"State College, PA",2025-12-04 17:00:00,-1.5565543
"State College, PA",2025-12-04 18:00:00,-2.5418124
"State College, PA",2025-12-04 19:00:00,-3.011211
"State College, PA",2025-12-04 20:00:00,-2.3835006
"State College, PA",2025-12-04 21:00:00,-2.5807843
"State College, PA",2025-12-04 22:00:00,-3.4927664
"State College, PA",2025-12-04 23:00:00,-3.606102
"State College, PA",2025-12-05 00:00:00,-3.6777139
"State College, PA",2025-12-05 01:00:00,-3.7337837
"State College, PA",2025-12-05 02:00:00,-2.988925
"State College, PA",2025-12-05 03:00:00,-3.6542487
"State College, PA",2025-12-05 04:00:00,-3.5407162
"State College, PA",2025-12-05 05:00:00,-3.6665158
"State College, PA",2025-12-05 06:00:00,-3.4527812
"State College, PA",2025-12-05 07:00:00,-2.2138414
"State College, PA",2025-12-05 08:00:00,-3.1715279
"State College, PA",2025-12-05 09:00:00,-2.0542717
"State College, PA",2025-12-05 10:00:00,-1.6358676
"State College, PA",2025-12-05 11:00:00,-1.3483639
"State College, PA",2025-12-05 12:00:00,-0.36816025
"State College, PA",2025-12-05 13:00:00,1.1021435
"State College, PA",2025-12-05 14:00:00,-0.10063648
"State College, PA",2025-12-05 15:00:00,0.6711819
"State College, PA",2025-12-05 16:00:00,-0.9736066
"State College, PA",2025-12-05 17:00:00,-1.0625286
"State College, PA",2025-12-05 18:00:00,-3.0603895
"State College, PA",2025-12-05 19:00:00,-3.9925938
"State College, PA",2025-12-05 20:00:00,-3.862258
"State College, PA",2025-12-05 21:00:00,-3.6681252
"State College, PA",2025-12-05 22:00:00,-3.8342428
"State College, PA",2025-12-05 23:00:00,-4.260765
"State College, PA",2025-12-06 00:00:00,-4.7009373
"State College, PA",2025-12-06 01:00:00,-4.3430634
"State College, PA",2025-12-06 02:00:00,-4.623988
"State College, PA",2025-12-06 03:00:00,-3.8976898
"State College, PA",2025-12-06 04:00:00,-4.266077
"State College, PA",2025-12-06 05:00:00,-2.9184494
"State College, PA",2025-12-06 06:00:00,-3.61512
"State College, PA",2025-12-06 07:00:00,-3.2439027
"State College, PA",2025-12-06 08:00:00,-3.3518295
"State College, PA",2025-12-06 09:00:00,-2.3944707
"State College, PA",2025-12-06 10:00:00,-1.4486747
"State College, PA",2025-12-06 11:00:00,-0.67322826
"State College, PA",2025-12-06 12:00:00,-1.8124776
"State College, PA",2025-12-06 13:00:00,-0.84162664
"State College, PA",2025-12-06 14:00:00,-0.78696203
"State College, PA",2025-12-06 15:00:00,-0.33880043
"State College, PA",2025-12-06 16:00:00,-1.2256784
"State College, PA",2025-12-06 17:00:00,-0.92214155
"State College, PA",2025-12-06 18:00:00,-1.9458408
"State College, PA",2025-12-06 19:00:00,-2.6812105
